Word	Points
--------------------------
iphone	149
アップル	136
macbook	108
pro	66
mac	64
neo	64
apple	54
ios	43
air	38
搭載	34
ipad	32
登場	29
発表	25
特集	25
衝動	24
格安sim	24
可能	23
カラフル	21
airpods	20
価格	19
スマホ	17
世代	16
watch	16
wwdc	16
配信	16
性能	15
魅力	15
airtag	15
進化	14
ai	13
vision	13
入門	13
解説	13
特典	13
mini	12
発売	12
開始	12
徹底特集	12
注目	12
今年	12
安い	12
ティム	12
クックceo	12
ai対応	11
usb	11
キャリア	11
充電	11
ハケ	11
オトク	11
理由	11
価格モデル	11
勝手予想	10
徹底	10
強化	10
よい	10
徹底比較	10
筆者	10
マイベストガジェット	10
配信開始	10
ややこし	10
対応	9
ウワサ	9
詳しく	9
intelligence	8
コスパ	8
最新	8
紹介	8
安く	8
最大	8
うわさ	8
料金	7
max	7
話題	7
ない	7
実機	7
povo	7
支払い	7
サービス	7
購入プログラム	7
返却	7
確認	7
今後	7
ユーザー	7
鉄板	6
ドッキングステーション	6
wokyis	6
消滅	6
新型apple	6
tv	6
homepod	6
galaxy	6
airdrop	6
機能	6
製品発表	6
驚異	6
薄型iphone	6
多数	6
マジ	6
アップ	6
スペック	6
cpu	6
imac	6
パブリックベータ	6
有機el搭載	6
pencil	6
appleシリコン	6
段階	6
軽量	6
推奨	6
imuto	6
緊急電源	6
ssdエンクロージャ	6
スタンド	6
世田谷電器	6
hakete	6
逸品	6
普通	6
オマージュ	6
置き時計	6
mvno	6
想像	6
ライブ翻訳	6
通知	6
デバイス	6
なく	6
史上最高	6
現在	6
加入	6
下取り	6
良く	6
標準モデル	6
楽天モバイル	6
新規契約	6
脆弱	6
修正	6
バッテリー	6
ビジネスユーザー	6
business	6
引退	6
修理	6
評価	6
東京フリーきっぷ	6
suica	6
販売	6
都電	6
運賃	6
収受	6
ハイエンドヘッドホン	6
スプリングセール	6
キーボード	6
詳細スペック	6
困惑	6
スゴ	6
価格macbook	6
旬パーツ	5
初代mac	5
エントリーipad	5
チップ	5
製品ページ	5
タワー	5
歴史	5
mini発売延期	5
サムスン	5
勝手予想まとめ	5
最新チップa	5
e特集	5
最新cpu搭載	5
高性能	5
大幅進化	5
手のひらサイズmac	5
パワフルmacbook	5
秋登場	5
大全	5
プロ仕様	5
ipad祭り特集	5
imac登場	5
arグラス	5
c搭載	5
チタン	5
plus復活	5
カメラ	5
最良	5
戦略	5
イイ	5
課題	5
cpu搭載	5
eレビュー	5
見事	5
上質入門	5
airレビュー	5
性能アップ	5
メモリー増量	5
価格据え置き	5
値頃	5
スマ	5
錯覚	5
脊髄反射衝動	5
ssd	5
寿命	5
名医	5
楽天	5
検査機能	5
最強忘れ物タグ	5
怪しい	5
折りたたみt	5
チャーケーブル	5
新旧実機	5
キーボード掃除神器	5
