Word	Points
--------------------------
スマホ	24
xperia	19
iphone	14
ダイソー	12
上位	12
機種	12
galaxy	12
ドコモ	11
vii	11
スマートフォン	9
発表	8
利用	7
危険	7
失効	7
pro	7
amazon	7
aquos	7
ソフトバンク	7
torras	7
最大	7
mnpワンストップ	6
注意	6
ない	6
usbメモリ	6
変換アダプタusb	6
タイプc	6
浮上	6
ワークマン	6
アーバンマルチストレージリュック	6
東京	6
記念suica	6
今後	6
移行	6
登場	6
arc	6
発売	6
マイナポータル	6
利用可能	6
自転車	6
青切符	6
kddi	6
注意喚起	6
六角形インテリアタッチライト	6
モバイルsuica	6
sie	6
生活セール	6
final	6
sense	6
モバイルバッテリー	6
minimag	6
ネットワークスライシング	6
携帯キャリア乗り換え	5
回線切り替え	5
ワナ	5
接続	5
au販売ランキング	5
盤石	5
割引	5
gb	5
複数ポケット	5
小物	5
収納	5
正月	5
スマホ限定モデル	5
性能テスト	5
本気	5
メーカー	5
見解	5
パフォーマンス優先	5
設計理念	5
ソニエリ時代	5
現在	5
ファン	5
理由	5
マイナンバーカード	5
運転免許関連サービス	5
長く	5
警告	5
罰則	5
レンタルバッテリー	5
chargespot	5
インテリア	5
ベッド照明	5
手がかり	5
google	5
ウォレット	5
ps	5
値上げ	5
価格改定	5
日本語専用モデル	5
据え置き	5
忘れ	5
チェック	5
徹底比較	5
使い	5
スペック	5
ドコモ販売ランキング	5
不動	5
後退	5
オフ	5
ワイヤレス	5
有線	5
w出力	5
gマネタイズ	5
切り札	5
始動	5
戦略	5
海外	5
先行事例	5
usb	4
type	4
解説	3
販売	3
紹介	3
価格	3
ショップ	2
安価	2
ガジェット	2
今回	2
首位	2
キープ	2
順位	2
前月	2
安定	2
必要	2
sns	2
記事	2
対応	2
公式xアカウント	2
デザイン	2
当時	2
人気	2
レビュー	2
返却	2
規約	2
playstation	2
国内	2
筆者	1
乗り換え	1
経験	1
予期	1
トラブル	1
日本通信	1
ワンストップ利用	1
予約番号発行	1
場合	1
即時発行	1
前提	1
ahamo	1
他社	1
回線	1
自動切り替え	1
手動	1
開通手続き	1
充電端子	1
a端子	1
充電ケーブル	1
c端子	1
変換	1
充電	1
auオンラインショップ	1
スマートフォン・ケータイ売れ筋ランキング	1
キャンペーン	1
背景	1
ランク	1
入れ替わり	1
圏外	1
ファスナー	1
大きく	1
オープンマルチポケット	1
はじめ	1
複数	1
収納スペース	1
アイテム	1
整理	1
開業	1
購入	1
カード	1
回避	1
期限	1
鉄道	1
バス	1
買い物	1
有効期限	1
延長	1
早め	1
確認	1
推奨	1
xiaomi	1
vivo	1
最新スマートフォン	1
ベンチマークテスト	1
不正疑惑	1
メーカー日本公式	1
声明	1
動画クリエイター	1
告発	1
騒動	1
賛否両論	1
疑惑	1
発端	1
各社	1
ユーザー	1
反応	1
経緯	1
ソニー	1
japan	1
ポスト	1
更新	1
経過	1
モデル	1
背面	1
最新技術	1
仕様	1
機能	1
多数	1
デジタル	1
搭載	1
マイナンバーカード機能	1
運転免許関連	1
サービス	1
住所変更	1
ワンストップサービス	1
完結	1
マイナ免許	1
取得	1
運転免許センター	1
電子証明	1
提出	1
事前	1
発売前後	1
少ない	1
皆さん	1
対象	1
交通違反	1
導入	1
nttドコモ	1
一斉	1
実施	1
操作	1
イヤフォン	1
装着	1
視認	1
悪化	1
遮音	1
リスク	1
違反	1
具体	1
罰則内容	1
レンタル	1
貸し出し	1
定義	1
返却期限	1
超過	1
違約	1
発生	1
内容	1
措置	1
連載	1
形電池	1
駆動	1
ライト	1
ジョイント	1
連結	1
可能	1
redmagic	1
gbモデル	1
長期レビュー	1
メインスマートフォン	1
ガッツリ	1
初期設定	1
顚末	1
てん	1
関連製品	1
改定	1
新居	1
ピンチ	1
セール	1
期間	1
製品	1
根強い	1
軽量	1
日常	1
仕上がり	1
カメラ機能	1
ai機能	1
優位	1
音質	1
専用シャッターボタン	1
独自	1
使い勝手	1
mnp前提	1
安い	1
ドコモオンラインショップ	1
売れ筋ランキング	1
連続	1
顔ぶれ	1
結果	1
sc	1
ランク後退	1
今月最大	1
変動	1
容量	1
mah	1
実現	1
magsafe充電	1
cポート	1
w有線充電	1
sa	1
普及	1
ネットワーク	1
仮想	1
分割	1
商用	1
ドコモビジネス	1
法人	1
イベント対策	1
帯域確保	1
遅延通信	1
提供	1
開始	1
海外事例	1
コンシューマー	1
ゲーム	1
動画配信	1
応用	1
収益	1
期待	1
