alias	canonical
dell technologies	Dell
dell technologies inc	Dell
dell inc	Dell
dell incorporated	Dell
dell computer	Dell
dell computers	Dell
dell	Dell
hp inc	HP
hewlett-packard	HP
hewlett packard	HP
hewlett-packard company	HP
hp japan	HP
日本hp	HP
日本ヒューレット・パッカード	HP
ヒューレット・パッカード	HP
hp	HP
fmv	FMV
fmv lifebook	FMV
fmv lifebook ah	FMV
fmv lifebook uh	FMV
富士通fmv	FMV
富士通	FUJITSU
fujitsu	FUJITSU
fujitsu client computing	FUJITSU
lavie	LaVie
la vie	LaVie
nec lavie	LaVie
nec la vie	LaVie
nec	NEC
日本電気	NEC
ark	ARK
ark pc	ARK
ark-pc	ARK
ark computer	ARK
パソコンショップark	ARK
pcショップark	ARK
frontier	FRONTIER
frontier pc	FRONTIER
frontier computers	FRONTIER
フロンティア	FRONTIER
geekom	GEEKOM
geekom jp	GEEKOM
geekom japan	GEEKOM
geekom japan official	GEEKOM
ギーコム	GEEKOM
g e e k o m	GEEKOM
gmktec	GMKtec
gmktec	GMKtec
gmk tec	GMKtec
gmk-tec	GMKtec
gmk	GMKtec
gmktec jp	GMKtec
ジーエムケーテック	GMKtec
ミニスフォーラム	Minisforum
minisforum	Minisforum
minis forum	Minisforum
minis-forum	Minisforum
minisforum jp	Minisforum
minisforum japan	Minisforum
ミニズフォーラム	Minisforum
tsukumo	TSUKUMO
tsukumo computer	TSUKUMO
tsukumo pc	TSUKUMO
ツクモ	TSUKUMO
九十九	TSUKUMO
九十九電機	TSUKUMO
ozgaming	OZgaming
oz gaming	OZgaming
oz-gaming	OZgaming
oz gaming pc	OZgaming
ozgaming pc	OZgaming
ozgaming.jp	OZgaming
storm	STORM
storm pc	STORM
storm computer	STORM
storm gaming	STORM
ストーム	STORM
sycom	Sycom
sycom pc	Sycom
sycom computer	Sycom
サイコム	Sycom
サイコムパソコン	Sycom
mouse	Mouse
mouse computer	Mouse
mousecomputer	Mouse
mouse computer japan	Mouse
マウス	Mouse
マウスコンピューター	Mouse
マウスコンピュータ	Mouse
lenovo	Lenovo
lenovo japan	Lenovo
lenovo japan ltd	Lenovo
レノボ	Lenovo
レノボ・ジャパン	Lenovo
レノボジャパン	Lenovo
thinkpad	ThinkPad
think pad	ThinkPad
thinkbook	ThinkBook
think book	ThinkBook
ideapad	IdeaPad
idea pad	IdeaPad
yoga	Yoga
legion	Legion
ultra sharp	UltraSharp
ultrasharp	UltraSharp
ultra-sharp	UltraSharp
dell ultrasharp	UltraSharp
core ultra	Core Ultra
core-ultra	Core Ultra
intel core ultra	Core Ultra
intel® core™ ultra	Core Ultra
intel core ultra processor	Core Ultra
geforce rtx	RTX
geforce-rtx	RTX
geforce® rtx	RTX
nvidia geforce rtx	RTX
nvidia rtx	RTX
rtx	RTX
asus	ASUS
asus computer	ASUS
asus pc	ASUS
asus japan	ASUS
asus japan inc	ASUS
エイスース	ASUS
エイスス	ASUS
アスース	ASUS
アスス	ASUS
