maker	keyword	brand	priority
dell	dell	Dell	100
dell	alienware	Alienware	200
dell	ultrasharp	Dell	150
hp	hp	HP	100
hp	omen	OMEN	200
hp	victus	Victus	200
fujitsu	fmv	FMV	200
fujitsu	lifebook	LIFEBOOK	200
fujitsu	esprimo	ESPRIMO	200
fujitsu	celsius	CELSIUS	200
fujitsu	arrows	ARROWS	200
dynabook	dynabook	dynabook	200
dynabook	portege	Portégé	200
dynabook	portégé	Portégé	200
dynabook	tecra	Tecra	200
dynabook	satellite	Satellite	200
dynabook	kira	KIRA	200
lenovo	lenovo	Lenovo	100
lenovo	thinkpad	ThinkPad	200
lenovo	thinkcentre	ThinkCentre	200
lenovo	thinkstation	ThinkStation	200
lenovo	ideapad	IdeaPad	200
lenovo	legion	Legion	200
lenovo	yoga	Yoga	200

asus	asus	ASUS	100
asus	rog	ROG	200
asus	tuf	TUF	200
asus	zenbook	Zenbook	200
asus	vivobook	Vivobook	200
asus	proart	ProArt	200
asus	expertbook	ExpertBook	200
asus	asus	ASUS	100
asus	rog	ROG	200
asus	tuf	TUF	200
asus	zenbook	Zenbook	200
asus	vivobook	Vivobook	200
asus	proart	ProArt	200
asus	expertbook	ExpertBook	200
asus	expertcenter	ExpertCenter	200
asus	nuc	NUC	200

msi	msi	MSI	100
msi	stealth	Stealth	200
msi	katana	Katana	200
msi	titan	Titan	200
msi	raider	Raider	200
msi	vector	Vector	200
msi	cyborg	Cyborg	200
msi	prestige	Prestige	200
gigabyte	gigabyte	GIGABYTE	100
gigabyte	aorus	AORUS	200
