maker	keyword	brand	series	collaboration	priority
tsukumo	excomputer	excomputer			100
tsukumo	excomputer gaming	excomputer	excomputer Gaming		100
tsukumo	excomputer pro	excomputer	excomputer Pro		100
tsukumo	g-gaming	G-GEAR			100
tsukumo	ggear	G-GEAR			100
tsukumo	g-gear	G-GEAR			100
tsukumo	g-gear mini	G-GEAR	G-GEAR mini		100
tsukumo	g-gear mini advanced	G-GEAR	G-GEAR mini		100
tsukumo	g-gear neo	G-GEAR	G-GEAR		100
tsukumo	g-gear neo advanced	G-GEAR	G-GEAR		100
tsukumo	g-gear neo premium	G-GEAR	G-GEAR		100
tsukumo	g-gear gaming	G-GEAR	G-GEAR		100
tsukumo	g-gear pc	G-GEAR	G-GEAR PC		100
tsukumo	g-gear aim	G-GEAR	G-GEAR Aim		100
tsukumo	g-gear aim gb	G-GEAR	G-GEAR Aim GB		100
tsukumo	g-gear ga	G-GEAR	G-GEAR GA		100
tsukumo	equus	EQUUS			100
tsukumo	dynabook	dynabook			200
tsukumo	dynabook r	dynabook	dynabook R		200
tsukumo	dynabook g	dynabook	dynabook G		200
tsukumo	dynabook x	dynabook	dynabook X		200
tsukumo	dynabook b	dynabook	dynabook B		200
tsukumo	dynabook a	dynabook	dynabook A		200
tsukumo	dynabook s	dynabook	dynabook S		200
tsukumo	dynabook t	dynabook	dynabook T		200
tsukumo	dynabook c	dynabook	dynabook C		200
tsukumo	dynabook r73	dynabook	dynabook R73		200
tsukumo	dynabook r9	dynabook	dynabook R9		200
tsukumo	dynabook g83	dynabook	dynabook G83		200
tsukumo	dynabook g6	dynabook	dynabook G6		200
tsukumo	dynabook x83	dynabook	dynabook X83		200
tsukumo	dynabook x8	dynabook	dynabook X8		200
tsukumo	dynabook a6	dynabook	dynabook A6		200
tsukumo	dynabook a8	dynabook	dynabook A8		200
tsukumo	dynabook b65	dynabook	dynabook B65		200
tsukumo	dynabook b75	dynabook	dynabook B75		200
tsukumo	portege	dynabook	Portégé		200
tsukumo	portégé	dynabook	Portégé		200
tsukumo	tecra	dynabook	Tecra		200
tsukumo	satellite	dynabook	Satellite		200
tsukumo	satellite pro	dynabook	Satellite Pro		200
tsukumo	kira	dynabook	KIRA		200
tsukumo	ex	dynabook	EX		200
tsukumo	razer	Razer			200
tsukumo	blade	Razer	Blade		200
tsukumo	blade 14	Razer	Blade 14		200
tsukumo	blade 16	Razer	Blade 16		200
tsukumo	blade 18	Razer	Blade 18		200
tsukumo	book	Razer	Book		200
tsukumo	msi	MSI			100
tsukumo	stealth	MSI	Stealth		100
tsukumo	crosshair	MSI	Crosshair		100
tsukumo	vector	MSI	Vector		100
tsukumo	raider	MSI	Raider		100
tsukumo	titan	MSI	Titan		100
tsukumo	prestige	MSI	Prestige		100
tsukumo	creator	MSI	Creator		100
tsukumo	asus	ASUS			100
tsukumo	rog	ROG			100
tsukumo	tuf	ASUS	TUF Gaming		100
tsukumo	nec	NEC			100
tsukumo	lenovo	Lenovo			100
tsukumo	fujitsu	FUJITSU			100
tsukumo	dell	DELL			100
tsukumo	dynabook m	dynabook	dynabook M		200
tsukumo	dynabook v	dynabook	dynabook V		200
tsukumo	dynabook k	dynabook	dynabook K		200
tsukumo	dynabook y	dynabook	dynabook Y		200
tsukumo	blade 15	Razer	Blade 15		200
tsukumo	blade 17	Razer	Blade 17		200
tsukumo	blade pro 17	Razer	Blade Pro 17		200
tsukumo	blade stealth	Razer	Blade Stealth		200
tsukumo	book	Razer	Book		200
ark	aorus	AORUS	AORUS		100
ark	aero	GIGABYTE	AERO		100
ark	gigabyte	GIGABYTE			100
ark	rog	ROG	ROG		100
ark	tuf	ASUS	TUF Gaming		100
ark	msi	MSI			100
ark	stealth	MSI	Stealth		100
ark	crosshair	MSI	Crosshair		100
ark	vector	MSI	Vector		100
ark	raider	MSI	Raider		100
ark	titan	MSI	Titan		100
ark	prestige	MSI	Prestige		100
ark	creator	MSI	Creator		100
ark	asrock	ASRock	ASRock		100
ark	founders edition	NVIDIA	Founders Edition		100
ark	arkhive	arkhive	arkhive		100
ark	arkhive gaming	arkhive	arkhive Gaming		100
ark	arkhive gaming custom	arkhive	arkhive Gaming Custom		100
ark	arkhive gaming alliance	arkhive	arkhive Gaming Alliance		100
ark	arkhive gaming limited	arkhive	arkhive Gaming Limited		100
ark	arkhive business	arkhive	arkhive Business		100
ark	arkhive business custom	arkhive	arkhive Business Custom		100
ark	arkhive business limited	arkhive	arkhive Business Limited		100
ark	arkhive business alternate	arkhive	arkhive Business Alternate		100
ark	arkhive creator	arkhive	arkhive Creator		100
ark	arkhive creator custom	arkhive	arkhive Creator Custom		100
ark	arkhive creator limited	arkhive	arkhive Creator Limited		100
