series_slug	raw_title	product_id
	用途に応じて構成可能なスタンダードデスクトップPC	PC-M2H52BZGJ8KRNRSZZ
	豊富なBTOで業務を強力にサポートするハイエンドデスクトップPC	PC-M2H52EZGJ8KRNRSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なスモールPC	PC-M2J44CZGH4KSMJSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なハイエンドPC（24型液晶セット）	PC-M2J47EYGJ8KSNRSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なハイエンドPC	PC-M2J47EZGJ8KSNRSZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(24型液晶セット、Windows 11 Pro モデル)	PC-M2L47LYGM8KRMRSZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC（Windows 11 Pro モデル）	PC-M2L47LZGM8KRM4SZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Pro モデル)	PC-M2L47LZGM8KRMRSZZ
	用途に応じて構成可能なスタンダードデスクトップPC	PC-M2M50BZGJ8KRNRSZZ
	豊富なBTOで業務を強力にサポートするハイエンドデスクトップPC	PC-M2M50EZGJ8KRNRSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なハイエンドPC	PC-M2P50EZGJ8KSNRSZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC（Windows 11 Pro モデル）	PC-M2T47LZGM8KRM4SZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Pro モデル)	PC-M2T47LZGM8KRMRSZZ
	用途に応じて構成可能なスタンダードデスクトップPC(24型液晶セット）	PC-M2T49BYGJ8KRNRSZZ
	用途に応じて構成可能なスタンダードデスクトップPC	PC-M2T49BZGJ8KRN4SZZ
	用途に応じて構成可能なスタンダードデスクトップPC	PC-M2T49BZGJ8KRNRSZZ
	豊富なBTOで業務を強力にサポートするハイエンドデスクトップPC(24型液晶セット）	PC-M2T49EYGJ8KRNRSZZ
	豊富なBTOで業務を強力にサポートするハイエンドデスクトップPC	PC-M2T49EZGJ8KRN4SZZ
	豊富なBTOで業務を強力にサポートするハイエンドデスクトップPC	PC-M2T49EZGJ8KRNRSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なスモールPC（24型液晶セット）	PC-M2Z34CYGH4KSMJ2ZZ
	第14世代インテル® Core™ プロセッサーを選択可能なスモールPC	PC-M2Z34CZGH4KSMJSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なスモールPC	PC-M2Z34CZGH4KSMRSZZ
	第14世代インテル® Core™ プロセッサーを選択可能なハイエンドPC	PC-M2Z39EZGJ8KSNRSZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Pro モデル)	PC-M2Z39LZGM8KRM4SZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Pro モデル)	PC-M2Z39LZGM8KRMRSZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Home モデル)	PC-M2Z39LZXM8KRM4SZZ
	エントリーモデルとして十分な性能を備えたコストパフォーマンスPC(Windows 11 Home モデル)	PC-M2Z39LZXM8KRMRSZZ
	一般業務に適した機能性を備えたエントリーPC	PC-V2545WDGMC5SZKYZY
	一般業務に適した機能性を備えたエントリーPC	PC-V2545WDGMC7SZGYZY
	一般業務に適した機能性を備えたエントリーPC	PC-V2545WDGMC9SZEYZY
	幅広い構成から用途に応じたスペックを選びたい方におすすめ	PC-V2H52XDGBC8PZEYZY
	高性能×拡張性でビジネスを加速 16型AIノートPC	PC-V2HN7AAHMCRTZYYZY
	高性能×拡張性でビジネスを加速 15.6型AIノートPC	PC-V2HN7ACHMC4TZYYZY
	日常業務を安定して支える、16型スタンダードノートPC	PC-V2LN5BAGMC8TZAYZY
	日常業務を安定して支える、15.6型スタンダードノートPC	PC-V2LN5BCGMC8TZAYZY
	高負荷なデータ管理業務や基幹業務などにおすすめ	PC-V2M47DBGBC8PZEYZY
	高負荷なデータ管理業務や基幹業務などにおすすめ(フルHD液晶)	PC-V2M47DDGBC8PZEYZY
	第13世代インテル® Core™ プロセッサー搭載タブレットPC	PC-V2M47S4G8C8SZGYZY
	幅広い構成から用途に応じたスペックを選びたい方におすすめ	PC-V2M47XBGBC8PZEYZY
	ビジネスに必要な性能と持ち運びやすさのエントリーモバイルPC	PC-V2M50BUGHC6RZGAZY
	ビジネスに必要な性能と持ち運びやすさのエントリーモバイルPC	PC-V2M50BUGHC6RZKAZY
	ビジネスに必須の性能やインターフェイスを備えた エントリーモバイルPC	PC-V2M50BUGHC8RZEAZY
	超長持ちバッテリー&軽量筐体、プレミアム14型モバイル(タッチパネル、LTE搭載）	PC-V2MM7EPHHL8TZDYZY
	高性能×拡張性でビジネスを加速 16型AIノートPC	PC-V2MN7AAHMC6TZDYZY
	高性能×拡張性でビジネスを加速 15.6型AIノートPC	PC-V2MN7ACHMC6TZDYZY
	柔軟な働き方を実現する、即応型タブレット（Core Ultra 5 プロセッサー搭載）	PC-V2MT5HEH8C8TZDYZY
	柔軟な働き方を実現する、即応型タブレット（Core Ultra 5 プロセッサー 335、5G搭載モデル）	PC-V2MT5HGH858TZDYZY
	柔軟な働き方を実現する、即応型タブレット（Core Ultra 5 プロセッサー 322搭載モデル）	PC-V2NT5HAH8C8TZDYZY
	柔軟な働き方を実現する、即応型タブレット（Core Ultra 5 プロセッサー 322 、5G搭載モデル)	PC-V2NT5HCH858TZDYZY
	第13世代インテル® Core™ プロセッサー 搭載バリューPC	PC-V2T46FBGMC8PZGYZY
	第13世代インテル® Core™ プロセッサー 搭載バリューPC	PC-V2T46FDGMC8PZGYZY
	第13世代インテル® Core™ プロセッサー搭載セキュアモバイル	PC-V2T46NUGHC6SZPYZY
	第13世代インテル® Core™ プロセッサー搭載セキュアモバイル	PC-V2T46NUGHC8SZPYZY
	大幅にモバイル性能を強化したスタンダード14型モバイル	PC-V2TM5FDGHC8TZDYZY
	大幅にモバイル性能を強化したスタンダード14型モバイル(タッチパネルモデル)	PC-V2TM5FJGHC8TZDYZY
	大幅にモバイル性能を強化したスタンダード14型モバイル(タッチパネル、LTE搭載モデル）	PC-V2TM5FJGHL8TZDYZY
	日常業務を安定して支える、16型スタンダードノートPC	PC-V2TN5BAGMC6TZDYZY
	日常業務を安定して支える、15.6型スタンダードノートPC	PC-V2TN5BCGMC6TZDYZY
	高性能×拡張性でビジネスを加速 16型AIノートPC	PC-V2TN7AAHMC8TZDYZY
	高性能×拡張性でビジネスを加速 15.6型AIノートPC	PC-V2TN7ACHMC8TZDYZY
	超長持ちバッテリー&軽量筐体、プレミアム14型モバイル	PC-V2UM7EAHHC8TZDYZY
	超長持ちバッテリー&軽量筐体、プレミアム14型モバイル(タッチパネル)	PC-V2UM7EJHHC8TZDYZY
	長時間バッテリー＆軽量筐体、ハイエンド14型モバイル	PC-V2UM9DAHHC9TZDYZY
	長時間バッテリー＆軽量筐体、ハイエンド14型モバイル	PC-V2UM9DBHHC7TZVYZY
	長時間バッテリー＆軽量筐体、ハイエンド14型モバイル	PC-V2UM9DBHHC9TZVYZY
	高性能×拡張性でビジネスを加速 16型AIノートPC	PC-V2UN7AAHMC8TZDYZY
	高性能×拡張性でビジネスを加速 15.6型AIノートPC	PC-V2UN7ACHMC8TZDYZY
	第13世代インテル® Core™ プロセッサー 搭載バリューPC	PC-V2V50FDGMC4PZKYZY
	第13世代インテル® Core™ プロセッサー 搭載バリューPC	PC-V2V50FDGMC6PZGYZY
	超長持ちバッテリー&軽量筐体、プレミアム14型モバイル(Core™ Ultra 7、タッチパネル搭載)	PC-V2VM7ETHHC8TZDYZY
	超長持ちバッテリー&軽量筐体、プレミアム14型モバイル(Core™ Ultra 7、タッチパネル、LTE搭載)	PC-V2VM7ETHHL8TZDYZY
	日常業務を安定して支える、16型スタンダードノートPC	PC-V2VN5BAGMC4TZVYZY
	日常業務を安定して支える、15.6型スタンダードノートPC	PC-V2VN5BCGMC4TZVYZY
14	14世代インテル® Core™ プロセッサーを選択可能なスタンダードPC（24型液晶セット）	PC-M2J47BYGJ8KSNRSZZ
14	14世代インテル® Core™ プロセッサーを選択可能なスタンダードPC（24型液晶セット）	PC-M2J47BZGJ8KSNRSZZ
14	14世代インテル® Core™ プロセッサーを選択可能なスタンダードPC（24型液晶セット）	PC-M2P50BZGJ8KSNRSZZ
14	14世代インテル® Core™ プロセッサーを選択可能なスタンダードPC	PC-M2Z39BZGJ8KSNRSZZ
a23	A23 インターネットやメールに最適な一体型	PC-GJ122CC5T3D3AUAAA
a23	A23 (ミニマムソフト) インターネットやメールに最適な一体型	PC-GJ122CC6T3D3AUAAA
a23	A23 ExcelやWordが使えるOffice搭載、快適に操作できるおすすめモデル	PC-GJ134CC1T3D3AUAAA
a23	A23 快適にアプリを操作できるおすすめモデル	PC-GJ134CC5T3D3AUAAA
a23	A23 (ミニマムソフト) 快適にアプリを操作できるおすすめモデル	PC-GJ134CC6T3D3AUAAA
a23	A23 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC5T3D3AUAAA
a23	A23 (ミニマムソフト) 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC6T3D3AUAAA
