series_slug	raw_title	product_id
a23	A23 インターネットやメールに最適な一体型	PC-GJ122CC5T3D3AUAAA
a23	A23 (ミニマムソフト) インターネットやメールに最適な一体型	PC-GJ122CC6T3D3AUAAA
a23	A23 ExcelやWordが使えるOffice搭載、快適に操作できるおすすめモデル	PC-GJ134CC1T3D3AUAAA
a23	A23 快適にアプリを操作できるおすすめモデル	PC-GJ134CC5T3D3AUAAA
a23	A23 (ミニマムソフト) 快適にアプリを操作できるおすすめモデル	PC-GJ134CC6T3D3AUAAA
a23	A23 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC5T3D3AUAAA
a23	A23 (ミニマムソフト) 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC6T3D3AUAAA
a27	A27 ExcelやWordが使えるOffice搭載、快適に操作できるおすすめモデル	PC-GJ134CE1T3D3AUAAA
a27	A27 快適にアプリを操作できる大画面一体型	PC-GJ134CE5T3D3AUAAA
a27	A27(ミニマムソフト) 快適にアプリを操作できる大画面一体型	PC-GJ134CE6T3D3AUAAA
a27	A27 大容量メモリとストレージ、Office搭載の5年あんしん保証のハイスペックモデル	PC-GJ177CE1T3A3ARADN
a27	A27 写真や動画の編集も快適なハイスペック大画面一体型	PC-GJ177CE5T3D3AUAAA
a27	A27(ミニマムソフト) 写真や動画の編集も快適なハイスペック大画面一体型	PC-GJ177CE6T3D3AUAAA
dt	DT Slim 24型ディスプレイの背面装着、クリエイティブな作業に対応するハイスペック	PC-GJ138Y26Z5D1AUAAA
dt	DT Slim クリエイティブな作業に対応するハイスペックのコンパクトデスクトップ	PC-GJ138YZ6Z5D1AUAAA
dt	DT Slim 24型ディスプレイの背面にブラケットで装着、快適にアプリを操作できるコンパクトデスクトップ	PC-GJ176Y2625D1AUAAA
dt	DT Slim ExcelやWordが使えるOffice搭載コンパクトデスクトップ	PC-GJ176YZ2Z5D1AUAAA
dt	DT Slim 快適にアプリを操作できるコンパクトデスクトップ	PC-GJ176YZ6Z5D1AUAAA
dt	DT Core i9搭載ハイエンドデスクトップ	PC-GJ209ZZ5T5D1A2AAA
dt	DT クリエイティブな作業に対応するハイスペックのデスクトップ	PC-GJ218ZZ5T5D1A2AAA
dt	DT 24型ディスプレイ付き、動画の編集も快適なハイスペックモデル	PC-GJ248W25T5D2A2AAA
dt	DT 24型ディスプレイ付き、動画の編集も快適なハイスペックモデル	PC-GJ248W25T5D2A6AAA
dt	DT 動画の編集も快適なハイスペックモデル	PC-GJ248WZ5T5D2A2AAA
dt	DT 動画の編集も快適なハイスペックモデル	PC-GJ248WZ5T5D2A6AAA
dt	DT クリエイティブな作業、動画編集、3Dレンダリングに対応するハイスペックモデル	PC-GJ259WZ5T5D2A2AAA
dt	DT クリエイティブな作業、動画編集、3Dレンダリングに対応するハイスペックモデル	PC-GJ259WZ5T5D2A6AAA
dt	DT 快適にアプリを操作できるデスクトップ	PC-GJ266ZZ5T5D1A2AAA
dt	DT  快適にアプリを操作できるデスクトップ	PC-GJ266ZZAT5D1A4AAA
dt	DT  快適にアプリを操作できるデスクトップ(ミニマムソフト）	PC-GJ266ZZDT5D1A4AAA
dt	DT Slim ExcelやWordが使えるOffice搭載コンパクトデスクトップ	PC-GJ273YZ2Z5D1ASAAA
