
category	maker	maker_id	url
desktop	eX.computer	7274	https://shop.tsukumo.co.jp/search/c10/?maker_id[]=7274&end_of_sales=0
desktop	MSI	7089	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=7089&end_of_sales=0
notebook	MSI	7089	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=7089&end_of_sales=0
desktop	NEC	1612	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=1612&end_of_sales=0
notebook	NEC	1612	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=1612&end_of_sales=0
desktop	ASUS	1694	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=1694&end_of_sales=0
notebook	ASUS	1694	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=1694&end_of_sales=0
	Lenovo	8865	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=8865&end_of_sales=0
	FUJITSU	6406	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=6406&end_of_sales=0
	Dynabook	2980	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=2980&end_of_sales=0
	DELL	xxx	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=4031&end_of_sales=0
	Apple	xxx	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=1012&end_of_sales=0
	MINISFORUM	xxx	https://shop.tsukumo.co.jp/search/c10/?maker_id%5B%5D=3704&end_of_sales=0
	GEEKOM	xxx	https://shop.tsukumo.co.jp/search/?maker_id%5B%5D=4989&end_of_sales=0
	GPD	xxx	https://shop.tsukumo.co.jp/search/?maker_id%5B%5D=2942&end_of_sales=0
notebook	レッツノート	xxx	https://shop.tsukumo.co.jp/search/c10:1005/?maker_id[]=6010&end_of_sales=0
