entry_name	maker	series	slug	url
ThinkPad	LENOVO	ThinkPad	thinkpad-results	https://www.lenovo.com/jp/ja/laptops/results/?visibleDatas=2115%3AThinkPad
ThinkPad	LENOVO	ThinkPad	thinkpad-category	https://www.lenovo.com/jp/ja/c/laptops/thinkpad/
Yoga	LENOVO	Yoga	yoga	https://www.lenovo.com/jp/ja/yoga/
ThinkBook	LENOVO	ThinkBook	thinkbook	https://www.lenovo.com/jp/ja/c/laptops/thinkbook/thinkbook-series/
Legion	LENOVO	Legion	legion	https://www.lenovo.com/jp/ja/c/laptops/legion-laptops/
IdeaPad	LENOVO	IdeaPad	ideapad	https://www.lenovo.com/jp/ja/c/laptops/ideapad/
LOQ	LENOVO	LOQ	loq	https://www.lenovo.com/jp/ja/c/laptops/loq-laptops/
Chromebook	LENOVO	Chromebook	chromebook	https://www.lenovo.com/jp/ja/c/laptops/lenovo/lenovo-edu-chromebooks/
ThinkCentre	LENOVO	ThinkCentre	thinkcentre	https://www.lenovo.com/jp/ja/c/desktops/thinkcentre/
ThinkStation	LENOVO	ThinkStation	thinkstation	https://www.lenovo.com/jp/ja/c/workstations/thinkstationpseries/
IdeaCentre	LENOVO	IdeaCentre	ideacentre	https://www.lenovo.com/jp/ja/c/desktops/ideacentre/
Yoga Desktop	LENOVO	YogaDesktop	yoga-desktop	https://www.lenovo.com/jp/ja/c/desktops/yoga/
Legion Desktop	LENOVO	LegionDesktop	legion-desktop	https://www.lenovo.com/jp/ja/c/desktops/legion-desktops/
LOQ Desktop	LENOVO	LOQDesktop	loq-desktop	https://www.lenovo.com/jp/ja/c/desktops/loq-desktops/
ThinkPad P Series	LENOVO	ThinkPadP	thinkpad-p	https://www.lenovo.com/jp/ja/c/laptops/thinkpad/thinkpad-p-series/
Tablet 8inch	LENOVO	Tablet8	tablet-8	https://www.lenovo.com/jp/ja/d/8-inch-tablets/
Tablet 11inch	LENOVO	Tablet11	tablet-11	https://www.lenovo.com/jp/ja/d/11-inch-tablets/
Monitor 23inch	LENOVO	Monitor23	monitor-23	https://www.lenovo.com/jp/ja/d/accessories-and-monitors/monitors/23-inch-monitors/
Monitor 24inch	LENOVO	Monitor24	monitor-24	https://www.lenovo.com/jp/ja/d/accessories-and-monitors/monitors/23-24-inch-monitors/
Monitor 27inch	LENOVO	Monitor27	monitor-27	https://www.lenovo.com/jp/ja/d/accessories-and-monitors/monitors/27-28-inch-monitors/
Monitor 31inch	LENOVO	Monitor31	monitor-31	https://www.lenovo.com/jp/ja/d/accessories-and-monitors/monitors/31-inch-monitors/
