mid	site
13730	MoMA Design Store
13786	犬・猫の総合情報サイト『PEPPY（ペピイ）』
13972	アウトドア＆フィッシング　ナチュラム
13993	Kojima.net（コジマネット）
14009	買取のジョー Powered by Joshin
14050	@cosme SHOPPING（アットコスメショッピング）
24172	ioPLAZA【アイ・オー・データ直販サイト】
2438	Sony Music Shop
2442	e87.com（株式会社千趣会イイハナ）
2451	リンクシェア アフィリエイト紹介プログラム
24501	ウイルスバスター公式トレンドマイクロ・オンラインショップ
24544	FUJIFILMプリント＆ギフト／フジフイルムモール
24577	贈り物のコンシェルジュ　リンベル
24623	キングソフト
24732	ノートンストア
25051	ブックオフ公式オンラインストア
2543	FMV Store
2557	デル株式会社
2563	ニッセン
2633	ソースネクスト
2780	NEC「得選街」
2880	HMV&BOOKS online
2902	楽天トラベル
2928	ベルメゾンネット
2980	ソニーストア
3132	Oisix
3256	EIZOダイレクト
3388	マカフィー・ストア
35182	TwellV放送記念キャンペーン
35265	アンダーアーマー公式サイト
35307	e-CAPCOM
35340	Ropping（ロッピング）
35364	SHIROHATO（白鳩）
35693	ライトオンオンラインショップ
35876	いぬのきもち・ねこのきもち
35909	HP Directplus -HP公式オンラインストア-
36131	クロックス公式オンラインショップ
36187	小田急オンラインショッピング
36426	フェリシモ【定期便】新規購入キャンペーン
36508	Dynabook Direct（公式オンラインストア）
36559	グンゼ公式通販
36806	婦人画報のお取り寄せ
36866	サイバーリンク公式オンラインストア
37234	ピザハットオンライン
37641	ソフマップ・ドットコム
37650	Teva(R) 公式サイト
37667	UGG(R) 公式サイト
38292	221616.com（ガリバー）
39165	プーマオンラインストア
39193	タカラトミーモール
39383	ブランディア（買取）
39942	ZUTTO
40386	fifth store
40574	ロフトネットストア
40616	SHEL'TTER WEB STORE
40622	Gap Japan
40624	au PAY ふるさと納税
40630	DCMオンライン
40638	ISETAN BEAUTY online
40644	F.O.Online Store
40653	パイオニア公式オンラインショップ
40660	Honeys公式通販サイト
40683	オシャレウォーカー
40763	サンデーマウンテン
40874	italist JP
40931	Dyson オンラインストア
41126	一番くじONLINE
41182	JAL 日本航空 国内線航空券
41183	JAL 日本航空 国際線航空券
42368	きれいみつけた
42372	ロマンティックプリンセス
42376	ラコステ
42408	Zoff
42428	ブランディア（販売）
42549	SANYO ONLINE STORE
42687	STRIPE CLUB（ストライプクラブ）
42768	ASBee ONLINE SHOP
42884	CHARLES & KEITH 公式オンラインストア
43098	アットコンタクト
43219	ダイレクトテレショップ
43294	アキバ☆ソフマップ・ドットコム
43618	ハッピーマリリン
43708	ASUS Store Online
43742	ペットゴー 公式オンラインストア
43862	リコレ！ソフマップ中古通販
44144	CASETiFY
44632	ウェブポ（年賀状総合サービス）
45396	coen ONLINE STORE
45802	タトラス公式オンラインストア
46164	au PAY マーケット
46274	FREAK'S STORE（Daytona Park）
46322	イオンボディオンラインショップ
46704	READYFOR
49831	テレ東アトミックゴルフ本店
49966	メルカード
50052	ダンロップスポーツ公式オンラインストア
50087	PAL CLOSET
50265	YAMAKI ONLINE SHOP
50342	PAL CLOSET（パルクローゼット）
50466	SPRING JAPAN
50572	LUPIS
50601	POCKETALK
50624	郵便局のネットショップ
50644	アリノマ
52664	カスミ・マルエツ オンラインデリバリー
52782	Rakuten Fashion
52928	通販生活
52983	Yogibo
53000	楽天トラベル JR楽パック赤い風船
53011	メガネのOWNDAYS
53054	パレモバONLINESTORE
53146	西川公式オンラインショップ
53192	GetYourGuide Japan
53204	YAMADAYA（ヤマダヤオンラインストア）
53216	Daniel Wellington JP（ダニエル・ウェリントン公式オンラインストア）
53280	トリバゴ
53333	楽天トラベル観光体験
53380	Trip.com（トリップドットコム）
53442	ココデカウ
53445	anatae
53500	江原道 / Koh Gen Do 公式オンラインショップ
53531	楽天チケット
53532	グレディブリリアン公式通販
24361	サッカーショップ加茂
47492	ISETAN BEAUTY online
47506	F.O.Online Store
47673	Honeys（ハニーズ）公式通販サイト
47858	【公式】オシャレウォーカー
50416	TSUNAGU SENSHUKAI 内祝い専門店
