entry_name	maker	series	slug	url
コンパクトPC	MOUSE	minipc	minipc	https://www.mouse-jp.co.jp/store/r/ra2010100/
ミニタワーPC	MOUSE	minitower	minitower	https://www.mouse-jp.co.jp/store/r/ra2010200/
スリムPC	MOUSE	slimpc	slimpc	https://www.mouse-jp.co.jp/store/r/ra2010300/
ミドルタワー	MOUSE	middletower	middletower	https://www.mouse-jp.co.jp/store/r/ra2010400/
フルタワー	MOUSE	fulltower	fulltower	https://www.mouse-jp.co.jp/store/r/ra2010500/
14型ノートPC	MOUSE	14note	14note	https://www.mouse-jp.co.jp/store/r/ra2020100/
15型ノートPC	MOUSE	15note	15note	https://www.mouse-jp.co.jp/store/r/ra2020200/
16型ノートPC	MOUSE	16note	16note	https://www.mouse-jp.co.jp/store/r/ra2020300/
17型ノートPC	MOUSE	17note	17note	https://www.mouse-jp.co.jp/store/r/ra2020400/
11型ノートPC	MOUSE	11note	11note	https://www.mouse-jp.co.jp/store/r/ra2020500/
18型ノートPC	MOUSE	18note	18note	https://www.mouse-jp.co.jp/store/r/ra2020600/
13型ノートPC	MOUSE	13note	13note	https://www.mouse-jp.co.jp/store/r/ra2020700/
10.1型タブレット	MOUSE	10tablet	10tablet	https://www.mouse-jp.co.jp/store/r/ra2030100/
12.6型タブレット	MOUSE	12tablet	12tablet	https://www.mouse-jp.co.jp/store/r/ra2030300/
サーバーEssentials	MOUSE	Essentials	essentials	https://www.mouse-jp.co.jp/store/r/ra2040100/
サーバーStandard	MOUSE	Standards	standards	https://www.mouse-jp.co.jp/store/r/ra2040200/
サーバーOSなし	MOUSE	nonOS	nonOS	https://www.mouse-jp.co.jp/store/r/ra2040300/
ワークステーション	MOUSE	worstation	workstation	https://www.mouse-jp.co.jp/store/r/ra2050000/
