category	maker	maker_id	url
desktop	eX.computer	7274	https://shop.tsukumo.co.jp/search/c10/?maker_id[]=7274&end_of_sales=0
desktop	MSI	7089	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=7089&end_of_sales=0
notebook	MSI	7089	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=7089&end_of_sales=0
desktop	NEC	1612	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=1612&end_of_sales=0
notebook	NEC	1612	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=1612&end_of_sales=0
desktop	ASUS	1694	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=1694&end_of_sales=0
notebook	ASUS	1694	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=1694&end_of_sales=0
desktop	Lenovo	8865	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=8865&end_of_sales=0
notebook	Lenovo	8865	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=8865&end_of_sales=0
desktop	FUJITSU	6406	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=6406&end_of_sales=0
notebook	FUJITSU	6406	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=6406&end_of_sales=0
notebook	Dynabook	2980	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=2980&end_of_sales=0
desktop	DELL	4031	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=4031&end_of_sales=0
notebook	DELL	4031	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=4031&end_of_sales=0
desktop	Apple	1012	https://shop.tsukumo.co.jp/search/c10:1005:100530000000000/?maker_id[]=1012&end_of_sales=0
notebook	Apple	1012	https://shop.tsukumo.co.jp/search/c10:1005:100540000000000/?maker_id[]=1012&end_of_sales=0
desktop	MINISFORUM	3704	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=3704&end_of_sales=0
desktop	GEEKOM	4989	https://shop.tsukumo.co.jp/search/c10:1005/?maker_id[]=4989&end_of_sales=0
notebook	GPD	2942	https://shop.tsukumo.co.jp/search/c10:1005/?maker_id[]=2942&end_of_sales=0
notebook	レッツノート	6010	https://shop.tsukumo.co.jp/search/c10:1005/?maker_id[]=6010&end_of_sales=0
notebook	RASZER	2541	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=2541&end_of_sales=0
notebook	SURFACE	7002	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=7002&end_of_sales=0
desktop	GIGABYTE	2226	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=2226&end_of_sales=0
notebook	GIGABYTE	2226	https://shop.tsukumo.co.jp/search/c10:1005:1005200/?maker_id[]=2226&end_of_sales=0
desktop	GMKTEC	4484	https://shop.tsukumo.co.jp/search/c10:1005:1005100/?maker_id[]=4484&end_of_sales=0
