unique_id	maker	name
ASUS_B9406CAA-TG0994X	asus	ASUS ExpertBook Ultra (B9406CAA) (B9406CAA-TG0994X); Copilot+ PC
ASUS_P3606CCA-PL0106X	asus	ASUS ExpertBook P3 (P3606CCA) (P3606CCA-PL0106X)
ASUS_UX5406SA-TU7321WHS	asus	ASUS Zenbook S14 (UX5406) (UX5406SA-TU7321WHS); Copilot+ PC
ASUS_V440VAK-WPC026WS	asus	ASUS V400 AiO (V440VAK) (V440VAK-WPC026WS)
ASUS_P470VAK-BPE297X	asus	ASUS ExpertCenter P400 AiO (P470VA) (P470VAK-BPE297X)
ASUS_X1607AA-U5161BU	asus	ASUS Vivobook 16 (X1607) (X1607AA-U5161BU)
ASUS_CM3001DM2A-R70006	asus	ASUS Chromebook CM30 Detachable (CM3001DM2A-R70006)
ASUS_P440VAK-BPC837X	asus	ASUS ExpertCenter P400 AiO (P440VA) (P440VAK-BPC837X)
ASUS_HN7306EAC-AI91281W	asus	ProArt GoPro Edition (PX13 HN7306) (HN7306EAC-AI91281W); Copilot+ PC
ASUS_CM3206DM4A-TR0023	asus	ASUS Chromebook CM32 Detachable (CM3206) (CM3206DM4A-TR0023)
ASUS_UM5606GA-TAI9321GR	asus	ASUS Zenbook S16 (UM5606) (UM5606GA-TAI9321GR)
ASUS_H7606WW-AI9642R5080W	asus	ProArt P16 (H7606) (H7606WW-AI9642R5080W); Copilot+ PC
ASUS_CX3402CVA-MW1032	asus	ASUS Chromebook Plus CX34 (CX3402) (CX3402CVA-MW1032)
ASUS_V501MV-07240H321TB	asus	ASUS V500 Mini Tower (V501MV) (V501MV-07240H321TB)
ASUS_GA403GM-AI9R506016GW	asus	ROG Zephyrus G14 (GA403GM) (GA403GM-AI9R506016GW)
ASUS_G814FP-R9R5070321TB	asus	ROG Strix G18 (G814FP) (G814FP-R9R5070321TB)
ASUS_UX5406SA-U7321WH	asus	ASUS Zenbook S 14 UX5406SA (UX5406SA-U7321WH); Copilot+ PC
