name|url|category
PC Watch|https://pc.watch.impress.co.jp/data/rss/1.0/pcw/feed.rdf|pc
ITmedia News|https://rss.itmedia.co.jp/rss/2.0/news_bursts.xml|news
ITmedia PCUSER|https://rss.itmedia.co.jp/rss/2.0/pcuser.xml|pc
Gizmodo Japan|https://www.gizmodo.jp/index.xml|gadget
ASCII Main|https://ascii.jp/rss.xml|pc
ASCII Biz|https://ascii.jp/biz/rss.xml|business
ASCII Tech|https://ascii.jp/tech/rss.xml|tech
ASCII Web|https://ascii.jp/web/rss.xml|tech
ASCII Digital|https://ascii.jp/digital/rss.xml|gadget
ASCII Mac|https://ascii.jp/mac/rss.xml|apple
ASCII Hobby|https://ascii.jp/hobby/rss.xml|hobby
ASCII PC|https://ascii.jp/pc/rss.xml|pc
TechCrunch|https://techcrunch.com/feed/|tech
Internet Watch|https://internet.watch.impress.co.jp/data/rss/1.0/iw/feed.rdf|network
ITmedia Business|https://rss.itmedia.co.jp/rss/2.0/business.xml|business
ITmedia Mobile|https://rss.itmedia.co.jp/rss/2.0/mobile.xml|mobile
Phile-web|https://www.phileweb.com/rss/rss.php|gadget
