name|url
Fintech Journal|https://www.sbbit.jp/rss/HotTopics.rss
ZUU online|https://zuuonline.com/feed
Financial Field|https://financial-field.com/feed
TechCrunch Fintech|https://techcrunch.com/category/fintech/feed/
MoneyTalksNews|https://www.moneytalksnews.com/feed/
NerdWallet|https://www.nerdwallet.com/blog/feed/
Money Under 30|https://www.moneyunder30.com/feed
Impress Money|https://www.watch.impress.co.jp/data/rss/1.0/ipw/feed.rdf
ITmedia Mobile|https://rss.itmedia.co.jp/rss/2.0/mobile.xml
ITmedia All|https://rss.itmedia.co.jp/rss/2.0/itmedia_all.xml
Gizmodo Japan|https://www.gizmodo.jp/index.xml
Yahoo Economy|https://news.yahoo.co.jp/rss/categories/business.xml
LIMO|https://limo.media/list/feed/rss
Guardian Money|https://www.theguardian.com/money/rss
