name|url|category
PC Watch|https://pc.watch.impress.co.jp/data/rss/1.0/pcw/feed.rdf|pc
ITmedia News|https://rss.itmedia.co.jp/rss/2.0/news_bursts.xml|news
ITmedia PCUSER|https://rss.itmedia.co.jp/rss/2.0/pcuser.xml|pc
Gizmodo Japan|https://www.gizmodo.jp/index.xml|gadget
ASCII Main|https://ascii.jp/rss.xml|pc
ASCII Biz|https://ascii.jp/biz/rss.xml|business
ASCII Tech|https://ascii.jp/tech/rss.xml|tech
ASCII Web|https://ascii.jp/web/rss.xml|tech
ASCII Digital|https://ascii.jp/digital/rss.xml|gadget
ASCII Mac|https://ascii.jp/mac/rss.xml|apple
ASCII Hobby|https://ascii.jp/hobby/rss.xml|hobby
ASCII PC|https://ascii.jp/pc/rss.xml|pc
Google AI Blog|https://blog.google/technology/ai/rss/|ai
TechCrunch|https://techcrunch.com/feed/|tech
Internet Watch|https://internet.watch.impress.co.jp/data/rss/1.0/iw/feed.rdf|network
ITmedia Business|https://rss.itmedia.co.jp/rss/2.0/business.xml|business
ITmedia Mobile|https://rss.itmedia.co.jp/rss/2.0/mobile.xml|mobile
Phile-web|https://www.phileweb.com/rss/rss.php|gadget
GNews_自作PC新製品|https://news.google.com/rss/search?q=%E8%87%AA%E4%BD%9CPC%2B%E6%96%B0%E8%A3%BD%E5%93%81%2B%E7%99%BA%E5%A3%B2%E6%97%A5&hl=ja&gl=JP&ceid=JP:ja
GNews_GeForce最新情報|https://news.google.com/rss/search?q=GeForce%2B%E6%9C%80%E6%96%B0%2B%E3%82%B0%E3%83%A9%E3%83%9C&hl=ja&gl=JP&ceid=JP:ja
GNews_Ryzenベンチマーク|https://news.google.com/rss/search?q=Ryzen%2B%E3%83%99%E3%83%B3%E3%83%81%E3%83%9E%E3%83%BC%E3%82%AF%2B%E6%80%A7%E8%83%BD&hl=ja&gl=JP&ceid=JP:ja
GNews_iPhone18噂|https://news.google.com/rss/search?q=iPhone%2B%E6%AC%A1%E6%9C%9F%2B%E5%99%82&hl=ja&gl=JP&ceid=JP:ja
GNews_ChatGPT新機能|https://news.google.com/rss/search?q=ChatGPT%2B%E6%96%B0%E6%A9%9F%E8%83%BD%2B%E3%82%A2%E3%83%83%E3%83%97%E3%83%87%E3%83%BC%E3%83%88&hl=ja&gl=JP&ceid=JP:ja
GNews_生成AI著作権|https://news.google.com/rss/search?q=%E7%94%9F%E6%88%90AI%2B%E8%91%97%E4%BD%9C%E6%A8%A9%2B%E8%AD%B0%E8%AB%96&hl=ja&gl=JP&ceid=JP:ja
GNews_Windows12最新情報|https://news.google.com/rss/search?q=Windows%2B%E6%AC%A1%E4%B8%96%E4%BB%A3%2BOS%2B%E3%83%AA%E3%83%BC%E3%82%AF&hl=ja&gl=JP&ceid=JP:ja
GNews_MacBookM4チップ|https://news.google.com/rss/search?q=MacBook%2BM4%E3%83%81%E3%83%83%E3%83%97%2B%E3%82%B9%E3%83%9A%E3%83%83%E3%82%AF&hl=ja&gl=JP&ceid=JP:ja
GNews_ゲーミングPC比較|https://news.google.com/rss/search?q=%E3%82%B2%E3%83%BC%E3%83%AE%E3%83%B3%E3%82%B0PC%2B%E3%81%8A%E3%81%99%E3%81%99%E3%82%81%2B%E6%AF%94%E8%BC%83&hl=ja&gl=JP&ceid=JP:ja
GNews_完全ワイヤレスイヤホン|https://news.google.com/rss/search?q=TWS%2B%E3%82%A4%E3%83%A4%E3%83%9B%E3%83%B3%2B%E6%96%B0%E8%A3%BD%E5%93%81&hl=ja&gl=JP&ceid=JP:ja
