category	series	vendor	chipset	slug	url
2in1	FRT300P 2in1 タブレット 着脱式キーボード搭載 Windows11 Pro			g121729	https://www.frontier-direct.jp/direct/g/g121729/
2in1	FRT280P 2in1 タブレット 着脱式キーボード搭載 Windows11 Pro			g123062	https://www.frontier-direct.jp/direct/g/g123062/
full	Zシリーズ	Intel	Z890	ejZaZ890	https://www.frontier-direct.jp/direct/e/ejZaZ890/
full	Zシリーズ	Intel	B860	ejZaB860	https://www.frontier-direct.jp/direct/e/ejZaB860/
full	Zシリーズ	AMD	B850	ejZaB850	https://www.frontier-direct.jp/direct/e/ejZaB850/
full	Zシリーズ	AMD	B650	ejZaB650	https://www.frontier-direct.jp/direct/e/ejZaB650/
full	Zシリーズ	AMD	B550	ejZaB550	https://www.frontier-direct.jp/direct/e/ejZaB550/
full	GBシリーズ	Intel	Z890	ejGbZ890	https://www.frontier-direct.jp/direct/e/ejGbZ890/
full	GBLシリーズ	AMD	B650	ejGblB650	https://www.frontier-direct.jp/direct/e/ejGblB650/
full	GPLシリーズ	Intel	B860	ejGplB860	https://www.frontier-direct.jp/direct/e/ejGplB860/
full	GPLシリーズ	AMD	B650	ejGplB6m	https://www.frontier-direct.jp/direct/e/ejGplB6m/
full	GHLシリーズ	Intel	B860	ejGhlB860	https://www.frontier-direct.jp/direct/e/ejGhlB860/
full	GHLシリーズ	AMD	B650	ejGhlB6m	https://www.frontier-direct.jp/direct/e/ejGhlB6m/
full	GHLシリーズ	AMD	B550	ejGhlB550	https://www.frontier-direct.jp/direct/e/ejGhlB550/
full	MFPシリーズ	AMD		ej-msi	https://www.frontier-direct.jp/direct/e/ej-msi/
full	MFGシリーズ	Intel		ej-msi	https://www.frontier-direct.jp/direct/e/ej-msi/
full	MFGシリーズ	AMD		ej-msi	https://www.frontier-direct.jp/direct/e/ej-msi/
full	CRシリーズ	Intel	Z890	ejCrZ890	https://www.frontier-direct.jp/direct/e/ejCrZ890/
