model_slug	product_code	product_name	product_url	image_url	price	cpu	gpu	memory	storage	stock
ej-msi	g123593	FRMFPB850B/A	https://www.frontier-direct.jp/direct/g/g123593/	https://www.frontier-direct.jp/img/goods/S/MFP-B-S-Red.jpg	販売価格 334,800 円 （税込）	AMD Ryzen 7 9700X プロセッサー	【MSI製】NVIDIA GeForce RTX 5060 Ti (8GB) [ブラック]	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g123594	FRMFPB850B/B	https://www.frontier-direct.jp/direct/g/g123594/	https://www.frontier-direct.jp/img/goods/S/MFP-B-S-Red.jpg	販売価格 469,800 円 （税込）	AMD Ryzen 7 9800X3D プロセッサー	【MSI製】NVIDIA GeForce RTX 5070 Ti [ブラック]	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD（SPATIUM M461）【Gen4】	○ 受注生産
ej-msi	g123595	FRMFPB850W/C	https://www.frontier-direct.jp/direct/g/g123595/	https://www.frontier-direct.jp/img/goods/S/MFP-W-S-Red.jpg	販売価格 459,800 円 （税込）	AMD Ryzen 7 9800X3D プロセッサー	【MSI製】NVIDIA GeForce RTX 5070 Ti [ホワイト] 【MSI RTX5070Ti 16G VENTUS 3XPZ OC】	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD（SPATIUM M461）【Gen4】	○ 受注生産
ej-msi	g119544	FRMFGB650/A	https://www.frontier-direct.jp/direct/g/g119544/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Red.jpg	販売価格 379,800 円 （税込）	AMD Ryzen 7 7800X3D プロセッサー	【MSI製】NVIDIA GeForce RTX 5070	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g119545	FRMFGB650/B	https://www.frontier-direct.jp/direct/g/g119545/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Red.jpg	販売価格 455,800 円 （税込）	AMD Ryzen 7 9800X3D プロセッサー	【MSI製】NVIDIA GeForce RTX 5070 Ti	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g119546	FRMFGB650/C	https://www.frontier-direct.jp/direct/g/g119546/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Red.jpg	販売価格 514,800 円 （税込）	AMD Ryzen 7 9800X3D プロセッサー	【MSI製】NVIDIA GeForce RTX 5080	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g121429	FRMFGB550/A	https://www.frontier-direct.jp/direct/g/g121429/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Blue.jpg	販売価格 239,800 円 （税込）	AMD Ryzen 7 5700X プロセッサー	AMD Radeon RX 9060 XT (8GB)	32GB (16GB x2) メモリ	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g121428	FRMFGB550/B	https://www.frontier-direct.jp/direct/g/g121428/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Blue.jpg	販売価格 264,800 円 （税込）	AMD Ryzen 7 5700X プロセッサー	AMD Radeon RX 9060 XT (16GB)	32GB (16GB x2) メモリ	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g121496	FRMFGB550/C	https://www.frontier-direct.jp/direct/g/g121496/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Blue.jpg	販売価格 255,800 円 （税込）	AMD Ryzen 7 5700X プロセッサー	NVIDIA GeForce RTX 5060 Ti(8GB) 【MSI RTX5060Ti 8G SHADOW 2X OC PLUS】	32GB (16GB x2) メモリ	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
ej-msi	g124018	FRMFGB860K/A	https://www.frontier-direct.jp/direct/g/g124018/	https://www.frontier-direct.jp/img/goods/S/MFG-WB-S-Red.jpg	販売価格 389,800 円 （税込）	インテル Core Ultra 7 プロセッサー 270K Plus	【MSI製】NVIDIA GeForce RTX 5070	32GB (16GB x2) メモリ【DDR5】	【MSI製】1TB M.2 NVMe SSD (SPATIUM M461)【Gen4】	○ 受注生産
