model_slug	brand	category	series
ej-msi	FRONTIER	Gaming Desktop	MSI Collaboration
ejAsusPc	FRONTIER	Gaming Desktop	ASUS Collaboration
ejCrB650	FRONTIER	Creator Desktop	Creator
ejCrZ890	FRONTIER	Creator Desktop	Creator
ejCsH610P	FRONTIER	Desktop	Slim
ejCsH810	FRONTIER	Desktop	Slim
ejGamA620	FRONTIER	Gaming Desktop	GAM
ejGamB550	FRONTIER	Gaming Desktop	GAM
ejGamB860	FRONTIER	Gaming Desktop	GAM
ejGbZ890	FRONTIER	Gaming Desktop	GB
ejGblB650	FRONTIER	Gaming Desktop	GBL
ejGhlB550	FRONTIER	Gaming Desktop	GHL
ejGhlB6m	FRONTIER	Gaming Desktop	GHL
ejGhlB860	FRONTIER	Gaming Desktop	GHL
ejGkA62m	FRONTIER	Gaming Desktop	GK
ejGkB550	FRONTIER	Gaming Desktop	GK
ejGkB860	FRONTIER	Gaming Desktop	GK
ejGplB6m	FRONTIER	Gaming Desktop	GPL
ejGplB860	FRONTIER	Gaming Desktop	GPL
ejXaB850	FRONTIER	Gaming Desktop	XA
ejXaB860	FRONTIER	Gaming Desktop	XA
ejZaB550	FRONTIER	Gaming Desktop	ZA
ejZaB650	FRONTIER	Gaming Desktop	ZA
ejZaB850	FRONTIER	Gaming Desktop	ZA
ejZaB860	FRONTIER	Gaming Desktop	ZA
ejZaZ890	FRONTIER	Gaming Desktop	ZA
