maker	collection	slug	url	enabled
GEEKOM	accessories	10-in-1	https://geekom.jp/products/10-in-1	true
GEEKOM	accessories	10-in-1%E3%82%A2%E3%83%AB%E3%83%9F%E3%83%8B%E3%82%A6%E3%83%A0%E5%90%88%E9%87%91usb%E3%83%8F%E3%83%96%E3%82%B9%E3%83%97%E3%83%AA%E3%83%83%E3%82%BF%E3%83%BC	https://geekom.jp/products/10-in-1%E3%82%A2%E3%83%AB%E3%83%9F%E3%83%8B%E3%82%A6%E3%83%A0%E5%90%88%E9%87%91usb%E3%83%8F%E3%83%96%E3%82%B9%E3%83%97%E3%83%AA%E3%83%83%E3%82%BF%E3%83%BC	true
GEEKOM	amd-ryzen	geekom-a5-pro-mini-pc-2026-edition	https://geekom.jp/products/geekom-a5-pro-mini-pc-2026-edition	true
GEEKOM	amd-ryzen	geekom-a9-max-minipc	https://geekom.jp/products/geekom-a9-max-minipc	true
GEEKOM	intel	geekom-ai-mini-pc-gt13max	https://geekom.jp/products/geekom-ai-mini-pc-gt13max	true
GEEKOM	amd-ryzen	geekom-ai-minipc-a9-mega	https://geekom.jp/products/geekom-ai-minipc-a9-mega	true
GEEKOM	intel	geekom-ai-minipc-it13max	https://geekom.jp/products/geekom-ai-minipc-it13max	true
GEEKOM	amd-ryzen	geekom-amd-a7max-minipc	https://geekom.jp/products/geekom-amd-a7max-minipc	true
GEEKOM	accessories	geekom-mini-5-1-usb-hub	https://geekom.jp/products/geekom-mini-5-1-usb-hub	true
GEEKOM	intel	geekom-mini-air12-nuc	https://geekom.jp/products/geekom-mini-air12-nuc	true
GEEKOM	amd-ryzen	geekom-minipc-a5pro	https://geekom.jp/products/geekom-minipc-a5pro	true
GEEKOM	accessories	geekom-mousepad	https://geekom.jp/products/geekom-mousepad	true
GEEKOM	amd-ryzen	geekom-nuc-a6-minipc-amd-ryzen-r7-6800h	https://geekom.jp/products/geekom-nuc-a6-minipc-amd-ryzen-r7-6800h	true
GEEKOM	amd-ryzen	geekom-nuc-a7-amd-ryzen	https://geekom.jp/products/geekom-nuc-a7-amd-ryzen	true
GEEKOM	amd-ryzen	geekom-nuc-a8-amd-ryzen-r7-8845hs-r9-8945hs	https://geekom.jp/products/geekom-nuc-a8-amd-ryzen-r7-8845hs-r9-8945hs	true
GEEKOM	accessories	geekom-nuc-a8max-amd-ryzen-minipc	https://geekom.jp/products/geekom-nuc-a8max-amd-ryzen-minipc	true
GEEKOM	intel	geekom-nuc-gt13-pro	https://geekom.jp/products/geekom-nuc-gt13-pro	true
GEEKOM	intel	geekom-nuc-intel-gt12-pro-i7-12650h-i9-12900h	https://geekom.jp/products/geekom-nuc-intel-gt12-pro-i7-12650h-i9-12900h	true
GEEKOM	intel	geekom-nuc-mini-air12lite-alder-lake-n100	https://geekom.jp/products/geekom-nuc-mini-air12lite-alder-lake-n100	true
GEEKOM	minipc	geekom-pm16-portable-monitor	https://geekom.jp/products/geekom-pm16-portable-monitor	true
GEEKOM	accessories	mini-pc-portable-case	https://geekom.jp/products/mini-pc-portable-case	true
GEEKOM	accessories	nuc-geekom-a5-amd-ryzen-7	https://geekom.jp/products/nuc-geekom-a5-amd-ryzen-7	true
GEEKOM	intel	nuc-mini-it12-12450h-12650h-i5-i7	https://geekom.jp/products/nuc-mini-it12-12450h-12650h-i5-i7	true
GEEKOM	intel	nuc-mini-pc-it13-intel-i9-i7-i5	https://geekom.jp/products/nuc-mini-pc-it13-intel-i9-i7-i5	true
