category	brand	series	slug	url
ミニタワー	TSUKUMO	AeroStream	aerostream	https://www.tsukumo.co.jp/bto/pc/aerostream/spec.html
スリムPCー	TSUKUMO	AeroSlim	aeroslim	https://www.tsukumo.co.jp/bto/pc/aeroslim/spec.html
小型PCー	TSUKUMO	MiniPC	minipc	https://www.tsukumo.co.jp/bto/pc/minipc/spec.html
ゲーミング	G-GEAR	G-GEAR	game	https://www.tsukumo.co.jp/bto/pc/game/spec.html
ゲーミング	G-GEAR	Aim	game-aim	https://www.tsukumo.co.jp/bto/pc/game/aim/spec.html
ゲーミング	G-GEAR	mini	game-mini	https://www.tsukumo.co.jp/bto/pc/game/mini/spec.html
ゲーミング	G-GEAR	pillarless	game-pillarless	https://www.tsukumo.co.jp/bto/pc/game/pillarless/
ゲーミング	G-GEAR	White Edition	White-Edition	https://www.tsukumo.co.jp/bto/pc/game/we/mini/
クリエイター	クリエイターPC	creator	creator	https://www.tsukumo.co.jp/bto/pc/creator/spec.html
プロフェッショナル	プロフェッショナルGPUモデル	quadro	quadro	https://www.tsukumo.co.jp/bto/pc/quadro/spec.html
ワークステーション	ワークステーションモデル	workstation	workstation	https://www.tsukumo.co.jp/bto/pc/workstation/spec.html
マルチGPU	マルチGPUモデル 	multi-gpu	multi-gpu	https://www.tsukumo.co.jp/bto/pc/special/multi-gpu/spec.html



