attr_type	name	slug	search_keywords	order
cpu	Core Ultra 9	intel-core-ultra-9	Core Ultra 9, Ultra 285K, Ultra 185H, Ultra 9 185H, Ultra 9 285K, Ultra 9 200V, 288V	10
cpu	Core Ultra 7	intel-core-ultra-7	Core Ultra 7, Ultra 265K, Ultra 155H, Ultra 165H, Ultra 155U, Ultra 7 265K, Ultra 7 258V, Ultra 7 256V, 155H	11
cpu	Core Ultra 5	intel-core-ultra-5	Core Ultra 5, Ultra 245K, Ultra 125H, Ultra 135H, Ultra 125U, Ultra 5 245K, Ultra 5 226V, 125H	12
cpu	Core i9	intel-core-i9	Core i9, i9-14900, i9-13900, i9-12900, 14900HX, 13980HX, i9-14900K, i9-14900KS	13
cpu	Core i7	intel-core-i7	Core i7, i7-14700, i7-13700, i7-1360P, i7-1355U, i7-12700, i7-1260P, 14700HX, i7-14700K	14
cpu	Core i5	intel-core-i5	Core i5, i5-14400, i5-13400, i5-1335U, i5-1340P, i5-12400, i5-1235U, i5-14600K	15
cpu	Core i3	intel-core-i3	Core i3, i3-13100, i3-12100, i3-1215U, i3-1115G4, i3-N305, Core 3, Core 3 100U	16
cpu	Celeron / Pentium	intel-low-end	Celeron, Pentium, Intel Processor, N100, N200, Gold 8505, 7305, セレロン, ペンティアム	17
cpu	Snapdragon X Elite / Plus	arm-snapdragon-x	Snapdragon X Elite, Snapdragon X Plus, X1E-84-100, X1E-78-100, X1P-64-100, X1P-42-100, ARM Windows, クアルコム, スナップドラゴン	18
cpu	Ryzen AI 300	amd-ryzen-ai-300	Ryzen AI 9, Ryzen AI 300, Strix Point, Ryzen AI 9 HX 370, Ryzen AI 9 365, Ryzen AI 7	19
cpu	Ryzen 9	amd-ryzen-9	Ryzen 9, 9950X, 7950X, 7945HX, 8945HS, 7940HS, 5900X, 9900X, R9-	20
cpu	Ryzen 7	amd-ryzen-7	Ryzen 7, 9700X, 7800X3D, 7700, 8845HS, 8840U, 7735HS, 7730U, 5800U, 5700U, 9800X3D, R7-	21
cpu	Ryzen 5	amd-ryzen-5	Ryzen 5, 9600X, 7600, 7530U, 8645HS, 8640U, 7535HS, 7520U, 5625U, 5500U, 9600, R5-	22
cpu	Ryzen 3	amd-ryzen-3	Ryzen 3, 7320U, 4300G, 5300U, 3300U, 3100, R3-	23
cpu	Ryzen Threadripper	amd-threadripper	Threadripper, 7995WX, 7980X, 7970X, スレッドリッパー, WXシリーズ	24
cpu	最新第14世代インテル	intel-14th-gen	i9-14, i7-14, i5-14, Raptor Lake Refresh, 第14世代, 14世代	25
cpu	最新第13世代インテル	intel-13th-gen	i9-13, i7-13, i5-13, Raptor Lake, 第13世代, 13世代	26
cpu	Ryzen 9000シリーズ	amd-ryzen-9000	Ryzen 9 9, Ryzen 7 9, Ryzen 5 9, Zen 5, 9000番台, 9950X, 9900X, 9700X, 9600X	27
cpu	Copilot+ PC (AI基準適合)	feature-copilot-plus	Copilot+ PC, Copilotプラス, 40+ TOPS, NPU 45TOPS, 40TOPS以上, AI要件適合, コパイロットプラス	28
cpu	NPU搭載 (AI PC)	feature-npu-ai	Ryzen AI, AI Boost, Intel NPU, NPU搭載, Neural Processing Unit, XDNA, NPU 10, NPU 11	29
cpu	省電力モデル	feature-power-efficient	Core i7-U, Ryzen 7-U, 省電力, T-Series, 低電圧, 15Wモデル, 効率重視	30
cpu	Intel Xeon	intel-xeon	Xeon, ジーオン, Xeon W, Xeon Silver, Xeon Gold	31
cpu	Ryzen PRO	amd-ryzen-pro	Ryzen AI PRO, Ryzen 7 PRO, Ryzen 5 PRO, ビジネス向けRyzen	32
gpu	GeForce RTX 5090	gpu-rtx-5090	RTX 5090, 5090, Blackwell	50
gpu	GeForce RTX 5080	gpu-rtx-5080	RTX 5080, 5080	51
gpu	GeForce RTX 5070 Ti	gpu-rtx-5070-ti	RTX 5070 Ti, 5070Ti	52
gpu	GeForce RTX 5070	gpu-rtx-5070	RTX 5070, 5070	53
gpu	GeForce RTX 50シリーズ	gpu-rtx-50-series	RTX 50, RTX 5090, RTX 5080, RTX 5070, Blackwell	54
gpu	GeForce RTX 4070 Ti	gpu-rtx-4070-ti	RTX 4070 Ti, 4070Ti, 4070 Ti SUPER, 4070TiS	55
gpu	GeForce RTX 4060 Ti	gpu-rtx-4060-ti	RTX 4060 Ti, 4060Ti, 4060 Ti 16GB	56
gpu	GeForce RTX 4060	gpu-rtx-4060	RTX 4060, 4060	57
gpu	GeForce RTX 4050	gpu-rtx-4050	RTX 4050, 4050	58
gpu	GeForce RTX 40シリーズ	gpu-rtx-40-series	RTX 40, RTX 4090, RTX 4080, RTX 4070, RTX 4060, RTX 4050, Ada Lovelace	59
