unique_id	maker	name	description	unified_genre	price
ACR_acer-qg241yp6bmipx	Acer	Acer 23.8インチ フルHD 144Hz 1ms(VRB) IPS 非光沢 sRGB 99% AMD FreeSync ブラックブースト VRB対応 ブルーライト低減 HDMI 1.4 DisplayPort v1.2 スピーカー・ヘッドホン端子 Acer Display Widget 6軸カラー調整 VESAマウント対応 Nitro ゲーミングモニター QG241YP6bmipx	・パネルサイズ：23.8インチ / ・解像度：1920×1080、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト: LED / ・表示色：約1,677万色 / ・色再現性：sRGB 99% / ・輝度：250 cd/㎡ / ・コントラスト：100000000:1 (ACM/最大)、1500:1(通常) / ・応答速度：1ms(VRB) / ・入力周波数（垂直）：48Hz-144Hz(HDMI/DisplayPort) / ・入力端子：HDMI 1.4×1、DisplayPort v1.2×1 / ・その他機能：AMD FreeSync、ブルーライトシールド、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・音声入力端子：非搭載 / ・調整機能：チルト角 上25° /下5° / ・VESAマウント：対応 (100mm x 100mm) / ・寸法・質量：（W) × (H) × (D) mm 約540×423×199 (540×319×50 スタンドなし) 、約3.0kg（約2.6kg スタンドなし） / ・スタンド幅：約330mm / ・付属品：HDMIケーブル（1.5m)、電源ケーブル（1.5m）、セットアップガイド、安全に関するご注意、台座、支柱、保証書、修理依頼書 / ・保証：3年（パネル・バックライトユニットは1年）	monitor	15990
ACR_acer-24-1-xv242fbmiiprx	Acer	Acer ゲーミングモニター Nitro 24.1インチ 540Hz 非光沢 フルHD 0.1ms sRGB 99% DeltaE<1 HDMI 2.0 DisplayPort1.4　高さ調整 ピボット機能 スピーカー内蔵 ヘッドホン端子 VESAマウント対応  XV242Fbmiiprx	・パネルサイズ：24.1インチ / ・解像度：フルHD 1920×1080 / ・液晶パネル方式：TN、非光沢 / ・色再現性：sRGB 99%、Delta E<1 / ・応答速度：1ms（GTG）/ 0.1ms（GTG, Min.） / ・入力周波数（垂直）：60-240Hz（HDMI)/60-540Hz（DisplayPort） / ・入力端子：HDMI 2.0×2、DisplayPort v1.4×1 / ・その他機能：ブルーライトシールド、フリッカーレス、VESA DisplayHDR  400、AMD FreeSync™ Premium / ・スピーカー：2W＋2W ステレオスピーカー / ・調整機能：ピボット機能90°/90°、スイベル360°、高さ調整最大120mm、チルト角上25°/下5° / ・寸法・質量：約558×382-502×234、約4.7kg / ・保証：3年（パネル・バックライトユニットは1年）	monitor	99800
ACR_acer-31-5-sb322qkbmiipx	Acer	Acer 4K モニター  31.5インチワイド VA 非光沢 NTSC 72% Adaptive Sync HDR 10 HDMI 2.0 DisplayPort1.2 スピーカー内蔵 ヘッドホン端子 VESAマウント対応 SB322QKbmiipx	・パネルサイズ：31.5インチ / ・解像度：4K 3840×2160 / ・液晶パネル方式：VA、非光沢 / ・色再現性：NTSC 72% / ・応答速度：4ms（GTG） / ・入力周波数（垂直）：50-60Hz（HDMI/DisplayPort） / ・入力端子：HDMI 2.0×2、DisplayPort v1.2×1 / ・その他機能：ブルーライトシールド 、フリッカーレス、Adaptive Sync、HDR10 / ・スピーカー：1W＋1W ステレオスピーカー / ・調整機能：チルト角上15°/下5° / ・VESAマウント：対応（75mm x 75mm） / ・寸法・質量：約715×513×224mm（715×423×49mm スタンドなし）、約5.9kg（スタンドあり） / ・保証：3年（パネル・バックライトユニットは1年）	monitor	49800
ACR_acer-23-8-ek241ygbmix	Acer	Acer モニター 23.8インチ フルHD 非光沢 IPS 120Hz 1ms(VRB) sRGB 99% AdaptiveSync HDMI 1.4 ミニD-Sub 15ピン スピーカー・ヘッドフォン端子 音声入力端子 VESAマウント対応 ゼロフレームデザイン EK241YGbmix	・パネルサイズ：23.8インチ / ・解像度：1920×1080、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、約1,677万色 / ・色再現性：sRGB 99% / ・輝度：250 cd/㎡ / ・コントラスト：100000000:1 (ACM/最大)、1500:1(通常) / ・応答速度：1ms(VRB) / ・入力周波数（垂直）：48-120Hz(HDMI)/48-75Hz(ミニD-Sub 15ピン) / ・入力端子：HDMI 1.4×1、ミニD-Sub 15ピン×1 / ・その他機能：AdaptiveSync、ブルーライトシールド、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドフォン端子：搭載 / ・音声入力端子：3.5mmステレオミニジャック / ・調整機能：チルト角上20°/下5° / ・VESAマウント：対応 (100mm x 100mm) / ・寸法・質量：（W) × (H) × (D) mm 約539×401×192 (539×315×40 スタンドなし) 、約2.7kg（スタンドあり）約2.3kg (スタンドなし） / ・付属品：HDMIケーブル（1.5m)、ACケーブル(1.5m)、ACアダプター、オーディオケーブル（1.5m）、ユーザーガイド、台座、支柱、保証書、修理依頼書 / ・メーカー保証：3年（パネル・バックライトユニットは1年）	monitor	14800
ACR_acer-24-5-ka252qg0bmix	Acer	Acer モニター 24.5インチ ワイド フルHD 非光沢 IPS 120Hz 1ms(VRB) sRGB 99% AdaptiveSync HDMI 1.4 ミニD-Sub 15ピン スピーカー・ヘッドホン端子 音声入力端子 VESAマウント対応 ゼロフレームデザイン KA252QG0bmix	・パネルサイズ：24.5インチ / ・解像度：1920×1080、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト：LED / ・表示色：約1,677万色 / ・色再現性：sRGB 99% / ・輝度：250 cd/㎡ / ・コントラスト：100000000:1 (ACM/最大)、1500:1(通常) / ・応答速度：1ms (VRB) / ・入力周波数（垂直）：48Hz-120Hz(HDMI)/48Hz-75Hz(ミニD-Sub 15ピン) / ・入力端子：HDMI 1.4×1、ミニD-Sub 15ピン×1 / ・その他機能：AdaptiveSync、ブルーライトシールド、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・音声入力端子：3.5mmステレオミニジャック / ・調整機能：チルト角 上25° /下5° / ・VESAマウント：対応 (100mm x 100mm) / ・寸法・質量：（W) × (H) × (D) mm 約558×435×210 (558×327×54 スタンドなし) 、約2.8kg（スタンドあり）約2.4kg (スタンドなし） / ・付属品：HDMIケーブル（1.5m)、オーディオケーブル（1.5m）、ACアダプター、ACケーブル(1.5m)、ユーザーガイド、台座、支柱、保証書、修理依頼書 / ・メーカー保証：3年（パネル・バックライトユニットは1年）	monitor	16480
ACR_acer-cb242ygbmiprx	Acer	Acer モニター 23.8インチ ワイド フルHD IPS 非光沢  エルゴスタンド 120Hz 1ms（VRB） sRGB 99% AdaptiveSync サステナブル ブルーライト低減 HDMI 1.4 DisplayPort v1.2 ミニD-Sub 15ピン スピーカー内蔵 ヘッドホン端子 音声入力端子 VESAマウント対応 ゼロフレームデザイン CB242YGbmiprx	・パネルサイズ：23.8インチ ワイド / ・解像度：1920×1080、、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト：LED / ・表示色：約1,677万色 / ・色再現性：sRGB 99% / ・輝度：250 cd/㎡ / ・コントラスト：100000000:1 （ACM/最大）、1500:1（通常） / ・応答速度：1ms（VRB） / ・入力周波数（垂直）：48Hz-120Hz(HDMI/DisplayPort)/48Hz-75Hz(ミニD-Sub 15ピン) / ・入力端子：HDMI 1.4×1、DisplayPort v1.2×1、ミニD-Sub 15ピン×1 / ・その他機能：Adaptive-Sync、ブルーライトシールド プロ、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・音声入力端子：3.5mmステレオミニジャック / ・調整機能：チルト角 上35° /下5°、スイベル（左右首振り） 右178°/左 178°、ピボッド 時計回り90°/反時計回り90°、高さ調整 最大 165mm / ・VESAマウント：対応 （100mm x 100mm） / ・寸法・質量：（W) × (H) × (D) mm 約540×367~532×245 (540×318×49 スタンドなし) 、約5.0Kg (約2.6Kg スタンドなし） / ・付属品：HDMIケーブル（1.8m)、オーディオケーブル（1.8m）、電源ケーブル（1.8m）、セットアップガイド、安全に関するご注意、台座、支柱、保証書、修理依頼書 / ・保証：3年（パネル・バックライトユニットは1年）	monitor	17800
ACR_acer-xv275kp5biipruzx	Acer	Acer Nitro ゲーミングモニター 27インチ 可変リフレッシュレート 1ms 320Hz(FHD) 160Hz(4K) IPS Mini LED Delta E <2  DCI-P3 95% HDR 1000 AMD FreeSync Premium エルゴスタンド HDMI 2.1 DisplayPort v1.4 USB 2.0 ヘッドホン端子 XV275KP5biipruzx	"・パネルサイズ：27インチ / ・解像度：3840×2160、4K UHD、16:9
1920×1080、フルHD、16:9（DFR利用時） / ・液晶パネル方式：IPS、非光沢、バックライト: Mini LED / ・表示色：約10億7000万色（8bit+FRC） / ・色再現性：DCI-P3 95%、Delta E <2 / ・輝度：600 cd/㎡（標準時）、1000 cd/㎡（HDR1000モード、ピーク時） / ・コントラスト：100000000:1 (ACM/最大)、1000:1(通常) / ・応答速度：1ms(GTG) / ・入力周波数（垂直）：48Hz-160Hz(HDMI/DisplayPort/USB Type-C)
48Hz-320Hz(HDMI/DisplayPort/USB Type-C) (DFR利用時) / ・入力端子：HDMI 2.1×2、DisplayPort v1.4×1、USB 2.0ポート（Type-C、90W給電対応）×1 / ・その他機能：AMD FreeSync Premium、VESA DisplayHDR 1000、ブルーライトシールド、フリッカーレス、KVMスイッチ（自動切り替え）、RGBライティング（背面）、DFR（Dynamic Frequency  Resolution）技術搭載 / ・PIP/PBP：非対応 / ・スピーカー：非搭載 / ・ヘッドホン端子：搭載 / ・調整機能：チルト角 上25° /下5°、スイベル（左右首振り）機能 右25° / 左25°、ピボッド機能 時計回り90° / 反時計回り90°、高さ調整機能 最大150mm / ・VESAマウント：対応 (75 x 75mm) / ・寸法・質量：（W）×（H）×（D）mm 約613×437～587×267 (613×359×79 スタンドなし) 、約6.7kg（スタンドあり）約4.7kg（スタンドなし） / ・スタンド幅：約552mm / ・付属品：HDMI（2.1対応）ケーブル（1.5m）、USB Type-Cケーブル（1.5m）、USB Type-Bケーブル（1.5m）、電源アダプター、電源ケーブル（1.5m）、セットアップガイド、安全に関するご注意、台座、支柱、VESAマウント用スペーサー（小×2、大×2）、保証書、修理依頼書、色差成績書 / ・保証：3年（パネル・バックライトユニットは1年）"	monitor	79280
ACR_acer-27-cb272ugbmiiprx	Acer	Acer モニター 27インチ WQHD IPS 非光沢 120Hz 1ms DCI-P3 90% Delta E<1 HDMI 2.0 DisplayPort v1.4 ヘッドホン端子 スピーカー ゼロフレームデザイン 左右首振り機能 高さ調整機能 VESAマウント対応 CB272UGbmiiprx	・パネルサイズ：27インチ / ・解像度：2560×1440、WQHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト: LED / ・色再現性：DCI-P3 90%、Delta E<1 / ・応答速度：1ms(VRB) / ・表示色：約1,677万色 / ・輝度：350 cd /㎡ / ・コントラスト：最大100000000:1 (ACM) / 通常1500:1 / ・入力周波数（垂直）：48Hz-120Hz(HDMI/DisplayPort) / ・入力端子：HDMI 2.0×2、DisplayPort v1.4×1 / ・その他機能：ブルーライトシールドプロ 、フリッカーレス、HDR10、Adaptive-Sync / ・音声入力端子：非搭載 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・PIP/PBP：対応 / ・調整機能：チルト角 上35° /下5°、スイベル（左右首振り）右178°/左 178°、ピボッド機能 時計回り 90°/反時計回り 90°、高さ調整機能 最大 165mm / ・VESAマウント：100mm x 100mm 対応 / ・寸法・質量：約614mm (W)×388~553mm (H)×245mm (D) (614mm×361mm×50mm スタンドなし) 、約5.8kg（スタンドあり） 約3.5kg (スタンドなし) / ・付属品：HDMIケーブル（1.8m）、電源ケーブル(1.8m)、セットアップガイド、安全に関するご注意、台座、支柱、保証書、修理依頼書、色差成績書 / ・メーカー保証：3年（パネル・バックライトユニットは1年）	monitor	29800
ACR_acer-xv271zbmiiprx	Acer	Acer Nitro ゲーミングモニター 27インチ フルHD IPS 非光沢 280Hz 0.5ms(GTG)  AMD FreeSync Premium sRGB 99% HDR10 ブラックブースト エルゴスタンド ブルーライト低減 HDMI 2.0 DisplayPort v1.2 スピーカー・ヘッドホン端子 ゼロフレーム VESAマウント XV271Zbmiiprx	・パネルサイズ：27インチ / ・解像度：1920×1080、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト：LED / ・表示色：約1,677万色 / ・色再現性：sRGB 99% / ・輝度：350 cd/㎡ / ・コントラスト：100000000:1 (ACM/最大)、1000:1(通常) / ・応答速度：1ms(GTG) / 0.5ms (GTG, Min.) / ・入力周波数（垂直）：48Hz-240Hz(HDMI)/48Hz-280Hz(DisplayPort) / ・入力端子：HDMI 2.0×2、DisplayPort v1.2×1 / ・その他機能：AMD FreeSync Premium、HDR10、ブルーライトシールド、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・調整機能：チルト角 上25° /下5°、スイベル（左右首振り）機能 360°、ピボッド機能 時計回り90° / 反時計回り90°、高さ調整機能 最大120mm / ・VESAマウント：対応 (100 x 100mm) / ・寸法・質量（W）×（H）×（D）mm： 約614×401～521×233 (614×367×66 スタンドなし) 、約5.6kg（スタンドあり）約4.1kg（スタンドなし） / ・スタンド幅：直径 約 233mm / ・付属品：HDMIケーブル（1.5m）、DisplayPortケーブル（1.5m）、電源ケーブル（1.5m）、セットアップガイド、安全に関するご注意、台座、支柱、保証書、修理依頼書 / ・保証：3年（パネル・バックライトユニットは1年）	monitor	32980
ACR_acer-27sb3g0wmix	Acer	AOPEN モニター 27インチ ワイド フルHD(1920×1080) IPS 非光沢 120Hz 1ms(TVR) sRGB 99% Adaptive-Sync ゼロフレーム 超薄型 HDMI 1.4 ミニD-Sub 15ピン スピーカー内蔵 ヘッドホン端子 音声入力端子 ブルーライト低減 6軸カラー VESAマウント対応 ホワイト 27SB3G0wmix	・本体色：ホワイト / ・パネルサイズ：27インチ ワイド / ・解像度：1920×1080、フルHD、16:9 / ・液晶パネル方式：IPS、非光沢、バックライト：LED / ・表示色：約1,677万色 / ・色再現性：sRGB 99% / ・輝度：250 cd/㎡ / ・コントラスト：100000000:1 (ACM/最大)、1500:1(通常) / ・応答速度：1ms(TVR) / ・入力周波数（垂直）：48Hz-120Hz(HDMI)/48Hz-75Hz(ミニD-Sub 15ピン) / ・入力端子：HDMI 1.4×1、ミニD-Sub 15ピン×1 / ・その他機能：Adaptive-Sync、ブルーライトシールド、フリッカーレス / ・PIP/PBP：非対応 / ・スピーカー：2W + 2W ステレオスピーカー / ・ヘッドホン端子：搭載 / ・音声入力端子：3.5mmステレオミニジャック / ・調整機能：チルト角 上25° /下5° / ・VESAマウント：対応 (100mm x 100mm) / ・寸法・質量：（W) × (H) × (D) mm 約611×467×220 (611×361×49 スタンドなし) 、約3.2kg（約2.8kg スタンドなし） / ・スタンド幅：直径 約220mm / ・付属品：HDMIケーブル（1.5m)、オーディオケーブル（1.5m）、電源アダプター、電源ケーブル（1.5m）、ユーザーマニュアル、台座、支柱、保証書、修理依頼書 / ・保証：3年（パネル・バックライトユニットは1年）	monitor	17800
