project	rss_key	rss_category	rss_url	source_name	overlay_key	parser_key	enabled	priority	language	rewrite_mode	worldview
運用宇宙	feed固有ID	semantic category	RSS URL	人間向け表示	rewrite routing	parser routing	有効/無効	dispatch優先	ja/en	rewrite強度	worldview routing
avflash	dmm-rental-new	adult_video	https://www.dmm.co.jp/rental/ppr/-/list/=/rss=create/sort=date/	DMMレンタル単品_新着	adult-video	dmm	1	50	ja	light	avflash
avflash	dmm-rental-reserve	adult_reserve	https://www.dmm.co.jp/rental/ppr/-/list/=/reserve=only/rss=create/sort=date/	DMMレンタル単品_予約	adult-reserve	dmm	1	50	ja	light	avflash
avflash	dmm-dvd-reserve	adult_reserve	http://www.dmm.co.jp/mono/dvd/-/list/=/reserve=only/rss=create/sort=date/	DMM通販DVD_予約	adult-reserve	dmm	1	50	ja	light	avflash
avflash	fanza-doujin-all	adult_doujin	https://www.dmm.co.jp/dc/doujin/-/list/=/rss=create/sort=date/	FANZA同人_新着	doujin	dmm	1	50	ja	light	avflash
avflash	fanza-doujin-comic	adult_doujin	https://www.dmm.co.jp/dc/doujin/-/list/=/media=comic/rss=create/sort=date/	FANZA同人_コミック	doujin-comic	dmm	1	50	ja	light	avflash
avflash	fanza-doujin-cg	adult_doujin	https://www.dmm.co.jp/dc/doujin/-/list/=/media=cg/rss=create/sort=date/	FANZA同人_CG	doujin-cg	dmm	1	50	ja	light	avflash
avflash	fanza-doujin-game	adult_doujin	https://www.dmm.co.jp/dc/doujin/-/list/=/media=game/rss=create/sort=date/	FANZA同人_ゲーム	doujin-game	dmm	1	50	ja	light	avflash
avflash	fanza-doujin-voice	adult_doujin	https://www.dmm.co.jp/dc/doujin/-/list/=/media=voice/rss=create/sort=date/	FANZA同人_ボイス	doujin-voice	dmm	1	50	ja	light	avflash
avflash	lovecul-tl-comic	adult_lovecul	https://lovecul.dmm.co.jp/tl/-/list/=/media=comic/rss=create/sort=date/	らぶカルTL_コミック	tl-comic	dmm	1	50	ja	light	avflash
avflash	lovecul-tl-cg	adult_lovecul	https://lovecul.dmm.co.jp/tl/-/list/=/media=cg/rss=create/sort=date/	らぶカルTL_CG	tl-cg	dmm	1	50	ja	light	avflash
avflash	lovecul-tl-game	adult_lovecul	https://lovecul.dmm.co.jp/tl/-/list/=/media=game/rss=create/sort=date/	らぶカルTL_ゲーム	tl-game	dmm	1	50	ja	light	avflash
avflash	lovecul-tl-voice	adult_lovecul	https://lovecul.dmm.co.jp/tl/-/list/=/media=voice/rss=create/sort=date/	らぶカルTL_ボイス	tl-voice	dmm	1	50	ja	light	avflash
avflash	lovecul-bl-all	adult_lovecul	https://lovecul.dmm.co.jp/bl/-/list/=/rss=create/sort=date/	らぶカルBL_総合	bl	dmm	1	50	ja	light	avflash
avflash	lovecul-bl-comic	adult_lovecul	https://lovecul.dmm.co.jp/bl/-/list/=/media=comic/rss=create/sort=date/	らぶカルBL_コミック	bl-comic	dmm	1	50	ja	light	avflash
avflash	lovecul-bl-cg	adult_lovecul	https://lovecul.dmm.co.jp/bl/-/list/=/media=cg/rss=create/sort=date/	らぶカルBL_CG	bl-cg	dmm	1	50	ja	light	avflash
avflash	lovecul-bl-game	adult_lovecul	https://lovecul.dmm.co.jp/bl/-/list/=/media=game/rss=create/sort=date/	らぶカルBL_ゲーム	bl-game	dmm	1	50	ja	light	avflash
avflash	lovecul-bl-voice	adult_lovecul	https://lovecul.dmm.co.jp/bl/-/list/=/media=voice/rss=create/sort=date/	らぶカルBL_ボイス	bl-voice	dmm	1	50	ja	light	avflash
